year,biasmo1,hate_crimes,merge_year,YEAR,Population,hate_crimes_per_100000
1997,25,159,1990,1990,248107628,0.06408509132979982
1997,26,24,1990,1990,248107628,0.009673221332799973
1997,27,3,1990,1990,248107628,0.0012091526665999966
1997,32,491,1990,1990,248107628,0.1978979864335328
1997,33,345,1990,1990,248107628,0.13905255665899963
1997,41,762,1990,1990,248107628,0.30712477731639914
1997,42,187,1990,1990,248107628,0.07537051621806645
1997,43,134,1990,1990,248107628,0.05400881910813318
1997,44,12,1990,1990,248107628,0.004836610666399986
1997,45,9,1990,1990,248107628,0.00362745799979999
1997,51,9,1990,1990,248107628,0.00362745799979999
1997,52,3,1990,1990,248107628,0.0012091526665999966
1998,11,792,1990,1990,248107628,0.3192163039823991
1998,12,2902,1990,1990,248107628,1.1696536794910635
1998,13,52,1990,1990,248107628,0.020958646221066607
1998,14,294,1990,1990,248107628,0.11849696132679967
1998,15,283,1990,1990,248107628,0.11406340154926635
1998,21,1080,1990,1990,248107628,0.4352949599759988
1998,22,61,1990,1990,248107628,0.0245861042208666
1998,23,59,1990,1990,248107628,0.023780002443133268
1998,24,21,1990,1990,248107628,0.008464068666199977
1998,25,125,1990,1990,248107628,0.050381361108333196
1998,26,41,1990,1990,248107628,0.016525086443533288
1998,27,2,1990,1990,248107628,8.061017777333311e-4
1998,32,482,1990,1990,248107628,0.1942705284337328
1998,33,272,1990,1990,248107628,0.10962984177173303
1998,41,851,1990,1990,248107628,0.34299630642553236
1998,42,223,1990,1990,248107628,0.08988034821726641
1998,43,157,1990,1990,248107628,0.06327898955206648
1998,44,12,1990,1990,248107628,0.004836610666399986
1998,45,17,1990,1990,248107628,0.006851865110733314
1998,51,13,1990,1990,248107628,0.005239661555266652
1998,52,12,1990,1990,248107628,0.004836610666399986
1999,11,781,1990,1990,248107628,0.3147827442048658
1999,12,2960,1990,1990,248107628,1.19303063104533
1999,13,47,1990,1990,248107628,0.01894339177673328
1999,14,298,1990,1990,248107628,0.12010916488226633
1999,15,212,1990,1990,248107628,0.08544678843973309
1999,21,1109,1990,1990,248107628,0.4469834357531321
1999,22,36,1990,1990,248107628,0.01450983199919996
1999,23,48,1990,1990,248107628,0.019346442665599945
