year_group,fstate,hate_crimes_per_100000,hate_crimes
1,2,0.18158838996469925,1
1,4,0.5475178415532643,20
1,5,0.12797515575642915,3
1,6,1.1037926145976504,328
1,8,0.7615552298129986,25
1,9,0.18280811546160572,6
1,11,0.3279408919336379,2
1,12,0.03095279752544764,4
1,13,0.04639637069029912,3
1,16,0.5045836377654616,5
1,17,0.1755341240092415,20
1,18,0.05407033360855132,3
1,19,0.32530222383829155,9
1,20,0.04046384514972027,1
1,21,0.16360386595935264,6
1,23,0.8965656644692657,11
1,24,0.5856765275071347,28
1,25,0.8809989797034459,53
1,26,0.3338786684918701,31
1,27,0.9847550753818559,43
1,29,0.2548059838637251,13
1,30,0.12557813031744897,1
1,32,0.4180755813759035,5
1,34,0.8312770051375518,64
1,35,0.2654022901563618,4
1,37,0.01512356405540185,1
1,39,0.17540160505392954,19
1,40,0.2550110467597818,8
1,41,1.2708189263062695,36
1,42,0.35432722118876786,42
1,44,0.89790429138391,9
1,45,0.05745581073596296,2
1,48,0.1887751688918343,32
1,49,0.4646224826173113,8
1,51,0.08089024568794323,5
1,53,1.1359027039441019,55
1,55,0.30728631156250785,15
1,56,0.220658489063062,1
2,2,0.18158838996469925,1
2,4,0.6570214098639171,24
2,6,1.4167582034927162,421
2,8,0.4569331378877992,15
2,9,0.2742121731924086,9
2,10,0.4534002753651006,3
2,11,0.3279408919336379,2
2,12,0.03869099690680955,5
2,13,0.04639637069029912,3
2,16,0.5045836377654616,5
2,17,0.2194176550115519,25
2,18,0.09011722268091886,5
2,19,0.2168681492255277,6
2,20,0.24278307089832163,6
2,21,0.05453462198645088,2
2,23,0.5705417864804418,7
2,24,0.6484275840257563,31
2,25,1.1303383135817793,68
2,26,0.15078391480278003,14
2,27,0.961853794559022,42
2,29,0.15680368237767695,8
2,30,0.3767343909523469,3
2,31,0.31684694201510855,5
2,32,0.5016906976510842,6
2,33,0.09055985916130704,1
2,34,0.7013899730848093,54
2,35,0.1327011450781809,2
2,37,0.0604942562216074,4
2,39,0.09231663423891028,10
2,40,0.09562914253491817,3
2,41,0.5295078859609457,15
2,42,0.21090906023140943,25
2,44,0.49883571743550564,5
2,45,0.05745581073596296,2
2,46,0.4327717878956616,3
2,47,0.10285024777653191,5
2,48,0.13568215264100592,23
2,49,0.23231124130865569,4
2,50,0.1787843735306159,1
2,51,0.22649268792624103,14
2,53,0.5782777401897247,28
2,54,0.16797321835006626,3
2,55,0.43020083618751104,21
3,4,0.3701026411498427,19
3,6,0.7761624286624094,263
3,8,0.48827761698201655,21
3,9,0.32276351293460104,11
3,10,0.6383934955363527,5
3,11,0.1749007001275026,1
3,12,0.01251025058657436,2
3,13,0.02443139889181617,2
3,16,0.1545575943419556,2
3,17,0.1208002776795716,15
3,18,0.08221627451422103,5
3,19,0.06841477827625546,2
3,20,0.40936173063253833,11
3,21,0.09898892709861475,4
3,23,0.23522825373601275,3
3,24,0.20756146413856805,11
3,25,1.4008139516032947,89
3,26,0.20129409963715733,20
3,27,0.6311013247427549,31
3,29,0.05361460747852287,3
3,30,0.11077386622947914,1
3,31,0.2924311792462762,5
3,32,0.49992351170270943,10
3,33,0.24295117653156423,3
3,34,0.3801941199890267,32
3,35,0.05498689937122481,1
3,36,0.02634898781153791,5
3,37,0.01242585646768935,1
3,39,0.18496448373638122,21
3,40,0.14492509980991625,5
3,41,0.5839538816582422,20
3,42,0.15477828255410886,19
3,44,0.5722662602304516,6
3,45,0.02491501488422989,1
3,47,0.22853787619751645,13
3,48,0.11511801203088749,24
3,49,0.2241313230247867,5
3,51,0.3672011420520443,26
3,53,0.6446381374707792,38
3,54,0.05527812080922746,1
3,55,0.3173310147013859,17
3,56,0.8099641793341689,4
4,2,0.3193934080394515,2
4,4,0.1558326910104601,8
4,5,0.26194801005580987,7
4,6,0.5459697692112007,185
4,8,0.18601052075505392,8
4,9,0.2347371003160735,8
4,10,0.3830360973218116,3
4,11,0.3498014002550052,2
4,12,0.05004100234629749,8
4,16,0.3091151886839112,4
4,17,0.1288536295248764,16
4,18,0.08221627451422103,5
4,19,0.03420738913812773,1
4,20,0.18607351392388105,5
4,21,0.09898892709861473,4
4,23,0.313637671648017,4
4,24,0.16982301611337383,9
4,25,1.0860242995576104,69
4,26,0.18116468967344157,18
4,27,0.9975472552385481,49
4,29,0.01787153582617429,1
4,31,0.5848623584925524,10
4,32,0.3999388093621675,8
4,33,0.32393490204208564,4
4,34,0.45148051748696916,38
4,35,0.16496069811367442,3
4,36,0.11593554637076683,22
4,37,0.03727756940306806,3
4,39,0.08807832558875295,10
4,40,0.0579700399239665,2
4,41,0.29197694082912107,10
4,42,0.04887735238550804,6
4,44,0.7630216803072688,8
