state,year,biasmo1,hate_crimes,fstate,merge_year,YEAR,Population,hate_crimes_per_100000
2,1993,15,5,4,1990,1990,3652849,0.13687946038831608
2,1993,21,23,4,1990,1990,3652849,0.629645517786254
2,1993,22,1,4,1990,1990,3652849,0.027375892077663215
2,1993,23,1,4,1990,1990,3652849,0.027375892077663215
2,1993,25,4,4,1990,1990,3652849,0.10950356831065286
2,1993,32,21,4,1990,1990,3652849,0.5748937336309276
2,1993,33,9,4,1990,1990,3652849,0.24638302869896894
2,1993,41,11,4,1990,1990,3652849,0.3011348128542954
2,1993,42,2,4,1990,1990,3652849,0.05475178415532643
2,1994,11,23,4,1990,1990,3652849,0.629645517786254
2,1994,12,72,4,1990,1990,3652849,1.9710642295917515
2,1994,13,1,4,1990,1990,3652849,0.027375892077663215
2,1994,14,6,4,1990,1990,3652849,0.16425535246597928
2,1994,15,4,4,1990,1990,3652849,0.10950356831065286
2,1994,21,28,4,1990,1990,3652849,0.7665249781745701
2,1994,22,3,4,1990,1990,3652849,0.08212767623298964
2,1994,23,1,4,1990,1990,3652849,0.027375892077663215
2,1994,25,8,4,1990,1990,3652849,0.21900713662130572
2,1994,32,22,4,1990,1990,3652849,0.6022696257085908
2,1994,33,7,4,1990,1990,3652849,0.19163124454364253
2,1994,41,23,4,1990,1990,3652849,0.629645517786254
2,1994,42,3,4,1990,1990,3652849,0.08212767623298964
2,1994,43,4,4,1990,1990,3652849,0.10950356831065286
2,1995,11,27,4,1990,1990,3652849,0.7391490860969068
2,1995,12,89,4,1990,1990,3652849,2.436454394912026
2,1995,13,1,4,1990,1990,3652849,0.027375892077663215
2,1995,14,9,4,1990,1990,3652849,0.24638302869896894
2,1995,15,8,4,1990,1990,3652849,0.21900713662130572
2,1995,21,18,4,1990,1990,3652849,0.4927660573979379
2,1995,22,3,4,1990,1990,3652849,0.08212767623298964
2,1995,23,1,4,1990,1990,3652849,0.027375892077663215
2,1995,25,2,4,1990,1990,3652849,0.05475178415532643
2,1995,32,16,4,1990,1990,3652849,0.43801427324261144
2,1995,33,7,4,1990,1990,3652849,0.19163124454364253
2,1995,41,36,4,1990,1990,3652849,0.9855321147958758
2,1995,42,3,4,1990,1990,3652849,0.08212767623298964
2,1996,11,22,4,1990,1990,3652849,0.6022696257085908
2,1996,12,109,4,1990,1990,3652849,2.9839722364652905
2,1996,13,2,4,1990,1990,3652849,0.05475178415532643
2,1996,14,5,4,1990,1990,3652849,0.13687946038831608
2,1996,15,9,4,1990,1990,3652849,0.24638302869896894
2,1996,21,31,4,1990,1990,3652849,0.8486526544075597
2,1996,23,1,4,1990,1990,3652849,0.027375892077663215
2,1996,25,4,4,1990,1990,3652849,0.10950356831065286
2,1996,32,26,4,1990,1990,3652849,0.7117731940192437
2,1996,33,6,4,1990,1990,3652849,0.16425535246597928
2,1996,41,28,4,1990,1990,3652849,0.7665249781745701
2,1996,42,5,4,1990,1990,3652849,0.13687946038831608
2,1996,43,2,4,1990,1990,3652849,0.05475178415532643
2,1997,11,38,4,1990,1990,3652849,1.0402838989512022
2,1997,12,123,4,1990,1990,3652849,3.367234725552576
2,1997,13,3,4,1990,1990,3652849,0.08212767623298964
2,1997,14,8,4,1990,1990,3652849,0.21900713662130572
2,1997,15,19,4,1990,1990,3652849,0.5201419494756011
2,1997,21,26,4,1990,1990,3652849,0.7117731940192437
2,1997,22,2,4,1990,1990,3652849,0.05475178415532643
2,1997,23,4,4,1990,1990,3652849,0.10950356831065286
2,1997,24,3,4,1990,1990,3652849,0.08212767623298964
2,1997,25,6,4,1990,1990,3652849,0.16425535246597928
2,1997,26,1,4,1990,1990,3652849,0.027375892077663215
2,1997,32,36,4,1990,1990,3652849,0.9855321147958758
2,1997,33,6,4,1990,1990,3652849,0.16425535246597928
2,1997,41,44,4,1990,1990,3652849,1.2045392514171815
2,1997,42,5,4,1990,1990,3652849,0.13687946038831608
2,1997,43,6,4,1990,1990,3652849,0.16425535246597928
2,1998,11,13,4,1990,1990,3652849,0.35588659700962183
2,1998,12,103,4,1990,1990,3652849,2.819716883999311
2,1998,13,4,4,1990,1990,3652849,0.10950356831065286
2,1998,14,6,4,1990,1990,3652849,0.16425535246597928
2,1998,15,23,4,1990,1990,3652849,0.629645517786254
2,1998,21,30,4,1990,1990,3652849,0.8212767623298964
2,1998,22,2,4,1990,1990,3652849,0.05475178415532643
2,1998,23,3,4,1990,1990,3652849,0.08212767623298964
2,1998,24,1,4,1990,1990,3652849,0.027375892077663215
2,1998,25,7,4,1990,1990,3652849,0.19163124454364253
2,1998,26,2,4,1990,1990,3652849,0.05475178415532643
2,1998,32,28,4,1990,1990,3652849,0.7665249781745701
2,1998,33,4,4,1990,1990,3652849,0.10950356831065286
2,1998,41,33,4,1990,1990,3652849,0.9034044385628862
2,1998,42,16,4,1990,1990,3652849,0.43801427324261144
2,1998,43,7,4,1990,1990,3652849,0.19163124454364253
2,1998,51,1,4,1990,1990,3652849,0.027375892077663215
2,1999,11,11,4,1990,1990,3652849,0.3011348128542954
2,1999,12,93,4,1990,1990,3652849,2.545957963222679
2,1999,13,1,4,1990,1990,3652849,0.027375892077663215
2,1999,14,10,4,1990,1990,3652849,0.27375892077663216
2,1999,15,21,4,1990,1990,3652849,0.5748937336309276
2,1999,21,25,4,1990,1990,3652849,0.6843973019415804
2,1999,22,2,4,1990,1990,3652849,0.05475178415532643
2,1999,24,2,4,1990,1990,3652849,0.05475178415532643
2,1999,25,7,4,1990,1990,3652849,0.19163124454364253
2,1999,26,3,4,1990,1990,3652849,0.08212767623298964
2,1999,32,24,4,1990,1990,3652849,0.6570214098639171
2,1999,33,10,4,1990,1990,3652849,0.27375892077663216
2,1999,41,37,4,1990,1990,3652849,1.012908006873539
2,1999,42,4,4,1990,1990,3652849,0.10950356831065286
2,1999,43,2,4,1990,1990,3652849,0.05475178415532643
2,2000,11,11,4,2000,2000,5133711,0.21426995013938258
2,2000,12,79,4,2000,2000,5133711,1.538847823728293
2,2000,13,4,4,2000,2000,5133711,0.07791634550523004
2,2000,14,5,4,2000,2000,5133711,0.09739543188153756
2,2000,15,30,4,2000,2000,5133711,0.5843725912892254
2,2000,21,22,4,2000,2000,5133711,0.42853990027876515
2,2000,22,3,4,2000,2000,5133711,0.05843725912892253
2,2000,24,1,4,2000,2000,5133711,0.01947908637630751
2,2000,25,4,4,2000,2000,5133711,0.07791634550523004
2,2000,32,31,4,2000,2000,5133711,0.6038516776655328
2,2000,33,5,4,2000,2000,5133711,0.09739543188153756
2,2000,41,36,4,2000,2000,5133711,0.7012471095470703
2,2000,42,3,4,2000,2000,5133711,0.05843725912892253
2,2000,43,5,4,2000,2000,5133711,0.09739543188153756
2,2000,51,1,4,2000,2000,5133711,0.01947908637630751
2,2001,11,13,4,2000,2000,5133711,0.2532281228919976
2,2001,12,112,4,2000,2000,5133711,2.181657674146441
2,2001,13,5,4,2000,2000,5133711,0.09739543188153756
2,2001,14,5,4,2000,2000,5133711,0.09739543188153756
2,2001,15,24,4,2000,2000,5133711,0.46749807303138025
2,2001,21,21,4,2000,2000,5133711,0.4090608139024577
2,2001,22,1,4,2000,2000,5133711,0.01947908637630751
2,2001,23,2,4,2000,2000,5133711,0.03895817275261502
2,2001,24,23,4,2000,2000,5133711,0.4480189866550727
2,2001,25,8,4,2000,2000,5133711,0.15583269101046007
2,2001,32,51,4,2000,2000,5133711,0.993433405191683
2,2001,33,77,4,2000,2000,5133711,1.4998896509756783
2,2001,41,31,4,2000,2000,5133711,0.6038516776655328
2,2001,42,2,4,2000,2000,5133711,0.03895817275261502
2,2001,43,9,4,2000,2000,5133711,0.17531177738676756
2,2002,11,11,4,2000,2000,5133711,0.21426995013938258
2,2002,12,68,4,2000,2000,5133711,1.3245778735889107
2,2002,13,3,4,2000,2000,5133711,0.05843725912892253
2,2002,14,9,4,2000,2000,5133711,0.17531177738676756
2,2002,15,15,4,2000,2000,5133711,0.2921862956446127
2,2002,21,14,4,2000,2000,5133711,0.2727072092683051
2,2002,22,5,4,2000,2000,5133711,0.09739543188153756
2,2002,23,1,4,2000,2000,5133711,0.01947908637630751
2,2002,24,6,4,2000,2000,5133711,0.11687451825784506
2,2002,25,5,4,2000,2000,5133711,0.09739543188153756
2,2002,26,1,4,2000,2000,5133711,0.01947908637630751
2,2002,32,27,4,2000,2000,5133711,0.5259353321603027
2,2002,33,20,4,2000,2000,5133711,0.3895817275261502
2,2002,41,37,4,2000,2000,5133711,0.7207261959233778
2,2002,42,6,4,2000,2000,5133711,0.11687451825784506
2,2002,43,8,4,2000,2000,5133711,0.15583269101046007
2,2002,51,1,4,2000,2000,5133711,0.01947908637630751
2,2002,52,1,4,2000,2000,5133711,0.01947908637630751
2,2003,11,7,4,2000,2000,5133711,0.13635360463415255
2,2003,12,68,4,2000,2000,5133711,1.3245778735889107
2,2003,13,3,4,2000,2000,5133711,0.05843725912892253
2,2003,15,21,4,2000,2000,5133711,0.4090608139024577
2,2003,21,26,4,2000,2000,5133711,0.5064562457839952
2,2003,22,6,4,2000,2000,5133711,0.11687451825784506
2,2003,24,9,4,2000,2000,5133711,0.17531177738676756
2,2003,25,8,4,2000,2000,5133711,0.15583269101046007
2,2003,26,3,4,2000,2000,5133711,0.05843725912892253
2,2003,27,1,4,2000,2000,5133711,0.01947908637630751
2,2003,32,22,4,2000,2000,5133711,0.42853990027876515
2,2003,33,32,4,2000,2000,5133711,0.6233307640418403
2,2003,41,31,4,2000,2000,5133711,0.6038516776655328
2,2003,42,1,4,2000,2000,5133711,0.01947908637630751
2,2003,43,5,4,2000,2000,5133711,0.09739543188153756
2,2003,51,2,4,2000,2000,5133711,0.03895817275261502
2,2003,52,1,4,2000,2000,5133711,0.01947908637630751
2,2004,11,11,4,2000,2000,5133711,0.21426995013938258
2,2004,12,73,4,2000,2000,5133711,1.4219733054704482
2,2004,13,2,4,2000,2000,5133711,0.03895817275261502
2,2004,14,5,4,2000,2000,5133711,0.09739543188153756
2,2004,15,10,4,2000,2000,5133711,0.1947908637630751
2,2004,21,28,4,2000,2000,5133711,0.5454144185366102
2,2004,23,1,4,2000,2000,5133711,0.01947908637630751
2,2004,24,8,4,2000,2000,5133711,0.15583269101046007
