REC_BH	STATNUM	ORI	BINCIDNO	ORIADDDT	ORINIBRS	CITY	STATECOD	POPGRP	DIVISN	REGION	AGINDIC	CORECTY	COVBYORI	FIELDNO	JUDDIST	NBRSFLG	INACTDTE	POP1	COUNTY1	MSA1	LSTPOP1	POP2	COUNTY2	MSA2	LSTPOP2	POP3	COUNTY3	MSA3	LSTPOP3	POP4	COUNTY4	MSA4	LSTPOP4	POP5	COUNTY5	MSA5	LSTPOP5	MASTERYR	QTR1ACT	QTR2ACT	QTR3ACT	QTR4ACT	F1QACT	F2QACT	F3QACT	F4QACT	AGNAME	CFIPS1	CFIPS2	CFIPS3	CFIPS4	CFIPS5	HC_FLAG
BH	50	AK0010100	 	19910430	 	ANCHORAGE	AK	1C	9	4	1	N	 	3030	020A	 	 	257762	 	37	254250	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1999	Z	I	I	I	 	 	 	 	ANCHORAGE	 	 	 	 	 	1
BH	50	AK0010200	 	19910430	 	FAIRBANKS	AK	4	9	4	1	N	 	3030	020A	 	 	33593	 	 	33453	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1999	 	 	 	 	 	 	 	 	FAIRBANKS	 	 	 	 	 	0
BH	50	AK0010300	 	19910430	 	JUNEAU	AK	4	9	4	1	N	 	3030	020A	 	 	30461	 	 	30201	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1999	 	 	 	 	 	 	 	 	JUNEAU	 	 	 	 	 	0
BH	50	AK0010400	 	19910430	 	KETCHIKAN	AK	6	9	4	1	N	 	3030	020A	 	 	7610	 	 	8398	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1999	 	 	 	 	 	 	 	 	KETCHIKAN	 	 	 	 	 	0
BH	50	AK0010500	 	19910430	 	KODIAK	AK	6	9	4	1	N	 	3030	020A	 	 	7789	 	 	7792	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1999	 	 	 	 	 	 	 	 	KODIAK	 	 	 	 	 	0
BH	50	AK0010600	 	19910430	 	NOME	AK	6	9	4	1	N	 	3030	020A	 	 	3934	 	 	3849	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1999	 	 	 	 	 	 	 	 	NOME	 	 	 	 	 	0
BH	50	AK0010700	 	19910430	 	PETERSBURG	AK	6	9	4	1	N	 	3030	020A	 	 	3296	 	 	3328	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1999	 	 	 	 	 	 	 	 	PETERSBURG	 	 	 	 	 	0
BH	50	AK0010800	 	19910430	 	SEWARD	AK	6	9	4	1	N	 	3030	020A	 	 	3300	 	 	3173	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1999	 	 	 	 	 	 	 	 	SEWARD	 	 	 	 	 	0
BH	50	AK0010900	 	19910430	 	SITKA	AK	6	9	4	1	N	 	3030	020A	 	 	8413	 	 	8637	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1999	 	 	 	 	 	 	 	 	SITKA	 	 	 	 	 	0
BH	50	AK0011000	 	19910430	 	SKAGWAY	AK	7	9	4	1	N	 	3030	020A	 	 	756	 	 	776	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1999	 	 	 	 	 	 	 	 	SKAGWAY	 	 	 	 	 	0
BH	50	AK0011100	 	19910430	 	WRANGELL	AK	7	9	4	1	N	 	3030	020A	 	 	2369	 	 	2493	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1999	 	 	 	 	 	 	 	 	WRANGELL	 	 	 	 	 	0
BH	50	AK0011200	 	19910430	 	VALDEZ	AK	6	9	4	1	N	 	3030	020A	 	 	4334	 	 	4373	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1999	 	 	 	 	 	 	 	 	VALDEZ	 	 	 	 	 	0
BH	50	AK0011300	 	19910430	 	BETHEL	AK	6	9	4	1	N	 	3030	020A	 	 	6399	 	 	6041	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1999	 	 	 	 	 	 	 	 	BETHEL	 	 	 	 	 	0
BH	50	AK0011400	 	19910430	 	CORDOVA	AK	6	9	4	1	N	 	3030	020A	 	 	2707	 	 	2290	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1999	 	 	 	 	 	 	 	 	CORDOVA	 	 	 	 	 	0
BH	50	AK0011600	 	19910430	 	KOTZEBUE	AK	6	9	4	1	N	 	3030	020A	 	 	2962	 	 	3019	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1999	 	 	 	 	 	 	 	 	KOTZEBUE	 	 	 	 	 	0
BH	50	AK0011700	 	19910430	 	PALMER	AK	6	9	4	1	N	 	3030	020A	 	 	4248	 	 	3997	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1999	 	 	 	 	 	 	 	 	PALMER	 	 	 	 	 	0
BH	50	AK0011800	 	19910430	 	BARROW	AK	6	9	4	1	N	 	3030	020A	 	 	7216	 	 	7185	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1999	 	 	 	 	 	 	 	 	NORTH SLOPE BOROUGH	 	 	 	 	 	0
BH	50	AK0011900	 	19910430	 	SELDOVIA	AK	7	9	4	1	N	 	3030	020A	 	 	374	 	 	367	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1999	 	 	 	 	 	 	 	 	SELDOVIA	 	 	 	 	 	0
BH	50	AK0012000	 	19910430	 	SOLDOTNA	AK	6	9	4	1	N	 	3030	020A	 	 	4593	 	 	4359	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1999	 	 	 	 	 	 	 	 	SOLDOTNA	 	 	 	 	 	0
BH	50	AK0012100	 	19910430	 	HAINES	AK	7	9	4	1	N	 	3030	020A	 	 	1337	 	 	1284	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1999	 	 	 	 	 	 	 	 	HAINES	 	 	 	 	 	0
BH	50	AK0012200	 	19910430	 	HOMER	AK	6	9	4	1	N	 	3030	020A	 	 	4837	 	 	4677	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1999	 	 	 	 	 	 	 	 	HOMER	 	 	 	 	 	0
BH	50	AK0012300	 	19910430	 	KENAI	AK	6	9	4	1	N	 	3030	020A	 	 	8014	 	 	7821	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1999	 	 	 	 	 	 	 	 	KENAI	 	 	 	 	 	0
BH	50	AK0012400	 	19910430	 	SPENARD	AK	7	9	4	0	N	AK0010100	3030	020A	 	19891101	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1999	 	 	 	 	 	 	 	 	SPENARD SERVICE DISTRICT	 	 	 	 	 	0
BH	50	AK0012600	 	19941021	 	FAIRBANKS	AK	7	9	4	5	N	 	3030	020A	 	 	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1999	 	 	 	 	 	 	 	 	FAIRBANKS INTL  AIRPORT	 	 	 	 	 	0
BH	50	AK0012700	 	19910430	 	ANCHORAGE	AK	7	9	4	5	N	 	3030	020A	 	 	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1999	 	 	 	 	 	 	 	 	ANCHORAGE AIRPORT SAFETY	 	 	 	 	 	0
BH	50	AK0012800	 	19910430	 	WHITTIER	AK	7	9	4	1	N	 	3030	020A	 	 	247	 	 	253	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1999	 	 	 	 	 	 	 	 	WHITTIER	 	 	 	 	 	0
BH	50	AK0013000	 	19910430	 	DILLINGHAM	AK	7	9	4	1	N	 	3030	020A	 	 	2486	 	 	2351	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1999	 	 	 	 	 	 	 	 	DILLINGHAM	 	 	 	 	 	0
BH	50	AK0013100	 	19910430	 	HOONAH	AK	7	9	4	1	N	 	3030	020A	 	 	842	 	 	873	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1999	 	 	 	 	 	 	 	 	HOONAH	 	 	 	 	 	0
BH	50	AK0013200	 	19910430	 	NORTH POLE	AK	7	9	4	1	N	 	3030	020A	 	 	1714	 	 	1658	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1999	 	 	 	 	 	 	 	 	NORTH POLE	 	 	 	 	 	0
BH	50	AK0013300	 	19910430	 	UNALASKA	AK	7	9	4	1	N	 	3030	020A	 	 	2246	 	 	2362	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1999	 	 	 	 	 	 	 	 	UNALASKA	 	 	 	 	 	0
BH	50	AK0013500	 	19910430	 	KLAWOCK	AK	7	9	4	1	N	 	3030	020A	 	 	828	 	 	863	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1999	 	 	 	 	 	 	 	 	KLAWOCK	 	 	 	 	 	0
BH	50	AK0014200	 	19931019	 	FAIRBANKS	AK	7	9	4	3	N	 	3030	020A	 	 	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1999	 	 	 	 	 	 	 	 	UNIV OF AK-FAIRBANKS	 	 	 	 	 	0
BH	50	AK0014300	 	19951030	 	ANCHORAGE	AK	7	9	4	3	N	 	3030	020A	 	 	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1999	 	 	 	 	 	 	 	 	UNIV OF ALASKA ANCHORAGE	 	 	 	 	 	0
BH	50	AK0014500	 	19910430	 	CRAIG	AK	7	9	4	1	N	 	3030	020A	 	 	1706	 	 	1698	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1999	 	 	 	 	 	 	 	 	CRAIG	 	 	 	 	 	0
BH	50	AK0014600	 	19910430	 	KING SALMON	AK	7	9	4	1	N	 	3030	020A	 	 	1368	 	 	1334	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1999	 	 	 	 	 	 	 	 	BRISTOL BAY BOROUGH	 	 	 	 	 	0
BH	50	AK0015000	 	19910430	 	SAINT PAUL ISLAND	AK	7	9	4	1	N	 	3030	020A	 	 	354	 	 	406	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1999	 	 	 	 	 	 	 	 	SAINT PAUL ISLAND	 	 	 	 	 	0
BH	50	AK0015200	 	19910430	 	SAND POINT	AK	7	9	4	1	N	 	3030	020A	 	 	817	 	 	910	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1999	 	 	 	 	 	 	 	 	SAND POINT	 	 	 	 	 	0
BH	50	AK0015400	 	19941021	 	TOGIAK	AK	7	9	4	1	N	 	3030	020A	 	 	656	 	 	673	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1999	 	 	 	 	 	 	 	 	TOGIAK	 	 	 	 	 	0
BH	50	AK0015600	 	19931019	 	WASILLA	AK	6	9	4	1	N	 	3030	020A	 	 	5843	 	 	5430	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1999	 	 	 	 	 	 	 	 	WASILLA	 	 	 	 	 	0
BH	50	AK0016300	 	19981218	 	ANVIK	AK	7	9	4	1	N	 	3030	020S	 	 	90	 	 	93	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1999	 	 	 	 	 	 	 	 	ANVIK	 	 	 	 	 	0
BH	50	AKASP0000	 	19910430	 	ANCHORAGE	AK	8A	9	4	4	N	 	3030	020A	 	 	193499	 	 	194499	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1999	 	 	 	 	 	 	 	 	STATE POLICE	 	 	 	 	 	0
BH	1	AL0010000	 	19910430	19910101	BIRMINGHAM	AL	9A	6	3	2	N	 	3070	010N	A	 	136001	37	98	136777	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1999	 	 	 	 	 	 	 	 	JEFFERSON	073	 	 	 	 	0
BH	1	AL0010100	 	19910430	19910101	BESSEMER	AL	4	6	3	1	N	 	3070	010N	A	 	30968	37	98	31363	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1999	 	 	 	 	 	 	 	 	BESSEMER	073	 	 	 	 	0
BH	1	AL0010200	 	19910430	19910101	BIRMINGHAM	AL	1C	6	3	1	Y	 	3070	010N	A	 	254171	37	98	259453	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1999	 	 	 	 	 	 	 	 	BIRMINGHAM	073	 	 	 	 	0
BH	1	AL0010300	 	19910430	19910101	MOUNTAIN BROOK	AL	5	6	3	1	N	 	3070	010N	A	 	18573	37	98	19070	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1999	 	 	 	 	 	 	 	 	MOUNTAIN BROOK	073	 	 	 	 	0
