REC_BH	STATNUM	ORI	BINCIDNO	ORIADDDT	ORINIBRS	CITY	STATECOD	POPGRP	DIVISN	REGION	AGINDIC	CORECTY	COVBYORI	FIELDNO	JUDDIST	NBRSFLG	INACTDTE	POP1	COUNTY1	MSA1	LSTPOP1	POP2	COUNTY2	MSA2	LSTPOP2	POP3	COUNTY3	MSA3	LSTPOP3	POP4	COUNTY4	MSA4	LSTPOP4	POP5	COUNTY5	MSA5	LSTPOP5	MASTERYR	QTR1ACT	QTR2ACT	QTR3ACT	QTR4ACT	F1QACT	F2QACT	F3QACT	F4QACT	AGNAME	CFIPS1	CFIPS2	CFIPS3	CFIPS4	CFIPS5	HC_FLAG
BH	50	AK0010100	 	19910430	 	ANCHORAGE	AK	1C	9	4	1	N	 	3030	020A	 	 	254250	 	37	255634	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1998	 	 	 	 	 	 	 	 	ANCHORAGE	 	 	 	 	 	0
BH	50	AK0010200	 	19910430	 	FAIRBANKS	AK	4	9	4	1	N	 	3030	020A	 	 	33453	 	 	34490	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1998	 	 	 	 	 	 	 	 	FAIRBANKS	 	 	 	 	 	0
BH	50	AK0010300	 	19910430	 	JUNEAU	AK	4	9	4	1	N	 	3030	020A	 	 	30201	 	 	28899	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1998	 	 	 	 	 	 	 	 	JUNEAU	 	 	 	 	 	0
BH	50	AK0010400	 	19910430	 	KETCHIKAN	AK	6	9	4	1	N	 	3030	020A	 	 	8398	 	 	8823	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1998	 	 	 	 	 	 	 	 	KETCHIKAN	 	 	 	 	 	0
BH	50	AK0010500	 	19910430	 	KODIAK	AK	6	9	4	1	N	 	3030	020A	 	 	7792	 	 	7178	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1998	 	 	 	 	 	 	 	 	KODIAK	 	 	 	 	 	0
BH	50	AK0010600	 	19910430	 	NOME	AK	6	9	4	1	N	 	3030	020A	 	 	3849	 	 	3565	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1998	 	 	 	 	 	 	 	 	NOME	 	 	 	 	 	0
BH	50	AK0010700	 	19910430	 	PETERSBURG	AK	6	9	4	1	N	 	3030	020A	 	 	3328	 	 	3207	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1998	 	 	 	 	 	 	 	 	PETERSBURG	 	 	 	 	 	0
BH	50	AK0010800	 	19910430	 	SEWARD	AK	6	9	4	1	N	 	3030	020A	 	 	3173	 	 	2994	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1998	 	 	 	 	 	 	 	 	SEWARD	 	 	 	 	 	0
BH	50	AK0010900	 	19910430	 	SITKA	AK	6	9	4	1	N	 	3030	020A	 	 	8637	 	 	8822	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1998	 	 	 	 	 	 	 	 	SITKA	 	 	 	 	 	0
BH	50	AK0011000	 	19910430	 	SKAGWAY	AK	7	9	4	1	N	 	3030	020A	 	 	776	 	 	771	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1998	 	 	 	 	 	 	 	 	SKAGWAY	 	 	 	 	 	0
BH	50	AK0011100	 	19910430	 	WRANGELL	AK	7	9	4	1	N	 	3030	020A	 	 	2493	 	 	2755	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1998	 	 	 	 	 	 	 	 	WRANGELL	 	 	 	 	 	0
BH	50	AK0011200	 	19910430	 	VALDEZ	AK	6	9	4	1	N	 	3030	020A	 	 	4373	 	 	4420	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1998	 	 	 	 	 	 	 	 	VALDEZ	 	 	 	 	 	0
BH	50	AK0011300	 	19910430	 	BETHEL	AK	6	9	4	1	N	 	3030	020A	 	 	6041	 	 	5299	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1998	 	 	 	 	 	 	 	 	BETHEL	 	 	 	 	 	0
BH	50	AK0011400	 	19910430	 	CORDOVA	AK	7	9	4	1	N	 	3030	020A	 	 	2290	 	 	2001	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1998	 	 	 	 	 	 	 	 	CORDOVA	 	 	 	 	 	0
BH	50	AK0011600	 	19910430	 	KOTZEBUE	AK	6	9	4	1	N	 	3030	020A	 	 	3019	 	 	2974	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1998	 	 	 	 	 	 	 	 	KOTZEBUE	 	 	 	 	 	0
BH	50	AK0011700	 	19910430	 	PALMER	AK	6	9	4	1	N	 	3030	020A	 	 	3997	 	 	3579	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1998	 	 	 	 	 	 	 	 	PALMER	 	 	 	 	 	0
BH	50	AK0011800	 	19910430	 	BARROW	AK	6	9	4	1	N	 	3030	020A	 	 	7185	 	 	6826	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	1998	 	 	 	 	 	 	 	 	NORTH SLOPE BOROUGH	 	 	 	 	 	0
