REC_BH	STATNUM	ORI	BINCIDNO	ORIADDDT	ORINIBRS	CITY	STATECOD	POPGRP	DIVISN	REGION	AGINDIC	CORECTY	COVBYORI	FIELDNO	JUDDIST	NBRSFLG	INACTDTE	POP1	COUNTY1	MSA1	LSTPOP1	POP2	COUNTY2	MSA2	LSTPOP2	POP3	COUNTY3	MSA3	LSTPOP3	POP4	COUNTY4	MSA4	LSTPOP4	POP5	COUNTY5	MSA5	LSTPOP5	MASTERYR	QTR1ACT	QTR2ACT	QTR3ACT	QTR4ACT	F1QACT	F2QACT	F3QACT	F4QACT	AGNAME	CFIPS1	CFIPS2	CFIPS3	CFIPS4	CFIPS5	HC_FLAG
BH	50	AK0010100	 	19910430	 	ANCHORAGE	AK	1C	9	4	1	Y	 	3030	020A	 	 	276109	 	38	273714	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2005	Z	I	I	Z	 	 	 	 	ANCHORAGE	 	 	 	 	 	1
BH	50	AK0010200	 	19910430	 	FAIRBANKS	AK	4	9	4	1	Y	 	3030	020A	 	 	30817	 	258	31286	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2005	 	 	 	 	 	 	 	 	FAIRBANKS	 	 	 	 	 	0
BH	50	AK0010300	 	19910430	 	JUNEAU	AK	4	9	4	1	N	 	3030	020A	 	 	31509	 	 	31505	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2005	 	 	 	 	 	 	 	 	JUNEAU	 	 	 	 	 	0
BH	50	AK0010400	 	19910430	 	KETCHIKAN	AK	6	9	4	1	N	 	3030	020A	 	 	7516	 	 	7529	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2005	 	 	 	 	 	 	 	 	KETCHIKAN	 	 	 	 	 	0
BH	50	AK0010500	 	19910430	 	KODIAK	AK	6	9	4	1	N	 	3030	020A	 	 	6343	 	 	6366	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2005	 	 	 	 	 	 	 	 	KODIAK	 	 	 	 	 	0
BH	50	AK0010600	 	19910430	 	NOME	AK	6	9	4	1	N	 	3030	020A	 	 	3637	 	 	3538	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2005	 	 	 	 	 	 	 	 	NOME	 	 	 	 	 	0
BH	50	AK0010700	 	19910430	 	PETERSBURG	AK	6	9	4	1	N	 	3030	020A	 	 	3058	 	 	3050	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2005	 	 	 	 	 	 	 	 	PETERSBURG	 	 	 	 	 	0
BH	50	AK0010800	 	19910430	 	SEWARD	AK	6	9	4	1	N	 	3030	020A	 	 	3024	 	 	3024	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2005	 	 	 	 	 	 	 	 	SEWARD	 	 	 	 	 	0
BH	50	AK0010900	 	19910430	 	SITKA	AK	6	9	4	1	N	 	3030	020A	 	 	8960	 	 	8967	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2005	 	 	 	 	 	 	 	 	SITKA	 	 	 	 	 	0
BH	50	AK0011000	 	19910430	 	SKAGWAY	AK	7	9	4	1	N	 	3030	020A	 	 	846	 	 	826	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2005	 	 	 	 	 	 	 	 	SKAGWAY	 	 	 	 	 	0
BH	50	AK0011100	 	19910430	 	WRANGELL	AK	7	9	4	1	N	 	3030	020A	 	 	2176	 	 	2185	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2005	 	 	 	 	 	 	 	 	WRANGELL	 	 	 	 	 	0
BH	50	AK0011200	 	19910430	 	VALDEZ	AK	6	9	4	1	N	 	3030	020A	 	 	4092	 	 	4101	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2005	 	 	 	 	 	 	 	 	VALDEZ	 	 	 	 	 	0
BH	50	AK0011300	 	19910430	 	BETHEL	AK	6	9	4	1	N	 	3030	020A	 	 	6183	 	 	6044	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2005	 	 	 	 	 	 	 	 	BETHEL	 	 	 	 	 	0
BH	50	AK0011400	 	19910430	 	CORDOVA	AK	7	9	4	1	N	 	3030	020A	 	 	2378	 	 	2356	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2005	 	 	 	 	 	 	 	 	CORDOVA	 	 	 	 	 	0
BH	50	AK0011600	 	19910430	 	KOTZEBUE	AK	6	9	4	1	N	 	3030	020A	 	 	3245	 	 	3188	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2005	 	 	 	 	 	 	 	 	KOTZEBUE	 	 	 	 	 	0
BH	50	AK0011700	 	19910430	 	PALMER	AK	6	9	4	1	N	 	3030	020A	 	 	6240	 	38	5801	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2005	 	 	 	 	 	 	 	 	PALMER	 	 	 	 	 	0
BH	50	AK0011800	 	19910430	 	BARROW	AK	6	9	4	1	N	 	3030	020A	 	 	7090	 	 	7292	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2005	 	 	 	 	 	 	 	 	NORTH SLOPE BOROUGH	 	 	 	 	 	0
BH	50	AK0011900	 	19910430	 	SELDOVIA	AK	7	9	4	1	N	 	3030	020A	 	 	302	 	 	298	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2005	 	 	 	 	 	 	 	 	SELDOVIA	 	 	 	 	 	0
BH	50	AK0012000	 	19910430	 	SOLDOTNA	AK	6	9	4	1	N	 	3030	020A	 	 	4068	 	 	4041	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2005	 	 	 	 	 	 	 	 	SOLDOTNA	 	 	 	 	 	0
BH	50	AK0012100	 	19910430	 	HAINES	AK	7	9	4	1	N	 	3030	020A	 	 	1813	 	 	1791	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2005	 	 	 	 	 	 	 	 	HAINES	 	 	 	 	 	0
BH	50	AK0012200	 	19910430	 	HOMER	AK	6	9	4	1	N	 	3030	020A	 	 	5318	 	 	5202	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2005	 	 	 	 	 	 	 	 	HOMER	 	 	 	 	 	0
BH	50	AK0012300	 	19910430	 	KENAI	AK	6	9	4	1	N	 	3030	020A	 	 	7472	 	 	7422	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2005	 	 	 	 	 	 	 	 	KENAI	 	 	 	 	 	0
BH	50	AK0012400	 	19910430	 	ANCHORAGE	AK	7	9	4	0	N	AK0010100	3030	020A	 	19891101	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2005	 	 	 	 	 	 	 	 	SPENARD SERVICE DISTRICT	 	 	 	 	 	0
BH	50	AK0012600	 	19941021	 	FAIRBANKS	AK	7	9	4	5	N	 	3030	020A	 	 	0	 	258	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2005	 	 	 	 	 	 	 	 	FAIRBANKS INTRNL AIRPORT	 	 	 	 	 	0
BH	50	AK0012700	 	19910430	 	ANCHORAGE	AK	7	9	4	5	N	 	3030	020A	 	 	0	 	38	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2005	 	 	 	 	 	 	 	 	ANCHORAGE INTRNTL AIRPOR	 	 	 	 	 	0
BH	50	AK0012800	 	19910430	 	WHITTIER	AK	7	9	4	1	N	 	3030	020A	 	 	176	 	 	176	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2005	 	 	 	 	 	 	 	 	WHITTIER	 	 	 	 	 	0
BH	50	AK0013000	 	19910430	 	DILLINGHAM	AK	7	9	4	1	N	 	3030	020A	 	 	2490	 	 	2505	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2005	 	 	 	 	 	 	 	 	DILLINGHAM	 	 	 	 	 	0
BH	50	AK0013100	 	19910430	 	HOONAH	AK	7	9	4	1	N	 	3030	020A	 	 	765	 	 	774	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2005	 	 	 	 	 	 	 	 	HOONAH	 	 	 	 	 	0
BH	50	AK0013200	 	19910430	 	NORTH POLE	AK	7	9	4	1	N	 	3030	020A	 	 	1680	 	258	1662	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2005	 	 	 	 	 	 	 	 	NORTH POLE	 	 	 	 	 	0
BH	50	AK0013300	 	19910430	 	UNALASKA	AK	6	9	4	1	N	 	3030	020A	 	 	4379	 	 	4113	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2005	 	 	 	 	 	 	 	 	UNALASKA	 	 	 	 	 	0
BH	50	AK0013500	 	19910430	 	KLAWOCK	AK	7	9	4	1	N	 	3030	020A	 	 	799	 	 	809	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2005	 	 	 	 	 	 	 	 	KLAWOCK	 	 	 	 	 	0
BH	50	AK0014200	 	19931019	 	FAIRBANKS	AK	7	9	4	3	N	 	3030	020A	 	 	0	 	258	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2005	 	 	 	 	 	 	 	 	UNIV OF AK: FAIRBANKS	 	 	 	 	 	0
BH	50	AK0014300	 	19951030	 	ANCHORAGE	AK	7	9	4	3	N	 	3030	020A	 	 	0	 	38	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2005	 	 	 	 	 	 	 	 	UNIV OF AK: ANCHORAGE	 	 	 	 	 	0
BH	50	AK0014500	 	19910430	 	CRAIG	AK	7	9	4	1	N	 	3030	020A	 	 	1268	 	 	1293	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2005	 	 	 	 	 	 	 	 	CRAIG	 	 	 	 	 	0
BH	50	AK0014600	 	19910430	 	KING SALMON	AK	7	9	4	1	N	 	3030	020A	 	 	1117	 	 	1110	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2005	 	 	 	 	 	 	 	 	BRISTOL BAY BOROUGH	 	 	 	 	 	0
BH	50	AK0014700	 	20000825	 	KAKE	AK	7	9	4	1	N	 	3030	020A	 	 	680	 	 	681	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2005	 	 	 	 	 	 	 	 	KAKE	 	 	 	 	 	0
BH	50	AK0014900	 	20000825	 	NENANA	AK	7	9	4	0	N	AKASP0000	3030	020A	 	20040901	387	 	 	395	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2005	 	 	 	 	 	 	 	 	NENANA	 	 	 	 	 	0
BH	50	AK0015000	 	19910430	 	SAINT PAUL ISLAND	AK	7	9	4	1	N	 	3030	020A	 	 	488	 	 	507	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2005	 	 	 	 	 	 	 	 	ST. PAUL	 	 	 	 	 	0
BH	50	AK0015200	 	19910430	 	SAND POINT	AK	7	9	4	1	N	 	3030	020A	 	 	958	 	 	961	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2005	 	 	 	 	 	 	 	 	SAND POINT	 	 	 	 	 	0
BH	50	AK0015400	 	19941021	 	TOGIAK	AK	7	9	4	1	N	 	3030	020A	 	 	822	 	 	817	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2005	 	 	 	 	 	 	 	 	TOGIAK	 	 	 	 	 	0
BH	50	AK0015600	 	19931019	 	WASILLA	AK	6	9	4	1	N	 	3030	020A	 	 	7835	 	38	7156	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2005	 	 	 	 	 	 	 	 	WASILLA	 	 	 	 	 	0
BH	50	AK0016300	 	19981218	 	ANVIK	AK	7	9	4	0	N	AKASP0000	3030	020S	 	20021201	102	 	 	102	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2005	 	 	 	 	 	 	 	 	ANVIK	 	 	 	 	 	0
BH	50	AK0016400	 	20000825	 	EMMONAK	AK	7	9	4	1	N	 	3030	020A	 	 	829	 	 	807	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	2005	 	 	 	 	 	 	 	 	EMMONAK	 	 	 	 	 	0
